Date,Views,Watch time (hours),Average view duration,Estimated revenue (USD)
Total,12100212,138067.1021,0:00:41,3211.1
2025-04-24,1863,35.8293,0:01:41,
2025-04-23,1934,37.4621,0:01:43,1.034
2025-04-22,2052,27.9997,0:01:15,0.764
2025-04-21,2179,37.9768,0:01:34,0.884
2025-04-20,1862,22.6369,0:01:32,0.786
2025-04-19,1923,34.3519,0:01:36,0.835
2025-04-18,1997,32.191,0:01:24,0.656
2025-04-17,1737,44.8078,0:02:14,0.877
2025-04-16,2126,66.8337,0:02:43,1.488
2025-04-15,2476,73.0594,0:02:29,1.847
2025-04-14,2442,89.2805,0:02:58,2.971
2025-04-13,3132,127.0015,0:03:15,3.059
2025-04-12,2365,59.4365,0:02:15,1.081
2025-04-11,2742,107.8555,0:03:08,2.144
2025-04-10,3069,149.155,0:03:51,2.809
2025-04-09,3623,210.3801,0:04:39,4.13
2025-04-08,4660,285.4013,0:04:54,5.483
2025-04-07,4803,311.2547,0:04:58,5.493
2025-04-06,7937,612.7496,0:05:39,10.385
2025-04-05,7670,520.646,0:05:03,8.232
2025-04-04,7545,555.9731,0:05:21,9.793
2025-04-03,5249,296.9296,0:04:29,5.601
2025-04-02,3463,71.9446,0:01:59,1.137
2025-04-01,2830,18.06,0:00:38,0.645
2025-03-31,3377,25.0243,0:00:45,0.656
2025-03-30,2301,24.5143,0:00:38,0.717
2025-03-29,2212,24.3572,0:00:39,0.443
2025-03-28,2219,27.9568,0:00:45,0.707
2025-03-27,1972,24.7286,0:00:45,0.631
2025-03-26,1909,26.745,0:00:50,0.855
2025-03-25,2046,27.2479,0:00:47,0.988
2025-03-24,4010,43.8241,0:00:39,1.16
2025-03-23,3885,40.5712,0:00:37,0.957
2025-03-22,5202,47.9126,0:00:33,1.298
2025-03-21,3841,40.35,0:00:37,1.124
2025-03-20,3221,36.7618,0:00:41,0.813
2025-03-19,4231,45.2286,0:00:38,1.303
2025-03-18,4118,47.561,0:00:41,0.959
2025-03-17,3485,42.6327,0:00:44,1.029
2025-03-16,2450,27.639,0:00:40,0.76
2025-03-15,2747,30.3752,0:00:39,0.802
2025-03-14,2834,29.7022,0:00:37,0.681
2025-03-13,3546,39.1136,0:00:39,0.864
2025-03-12,3711,38.5856,0:00:37,0.931
2025-03-11,4505,51.463,0:00:41,0.961
2025-03-10,2579,32.0224,0:00:44,0.809
2025-03-09,2900,32.3317,0:00:40,0.77
2025-03-08,3734,36.2947,0:00:34,1.048
2025-03-07,2407,26.4615,0:00:39,0.627
2025-03-06,2081,27.4549,0:00:47,0.601
2025-03-05,1839,24.9933,0:00:48,0.514
2025-03-04,1653,25.168,0:00:54,0.457
2025-03-03,1908,29.524,0:00:55,0.63
2025-03-02,2276,35.861,0:00:56,0.656
2025-03-01,8174,99.9549,0:00:44,1.633
2025-02-28,4949,58.1831,0:00:42,0.917
2025-02-27,5429,70.1223,0:00:46,1.041
2025-02-26,2880,38.2417,0:00:47,0.747
2025-02-25,2975,35.8335,0:00:43,0.757
2025-02-24,2867,32.612,0:00:40,0.582
2025-02-23,3453,39.9264,0:00:41,0.585
2025-02-22,4032,39.9928,0:00:35,0.791
2025-02-21,2473,28.2455,0:00:41,0.559
2025-02-20,2539,29.8916,0:00:42,0.415
2025-02-19,2568,34.4743,0:00:48,0.668
2025-02-18,2283,28.7851,0:00:45,0.595
2025-02-17,2611,33.5713,0:00:46,0.634
2025-02-16,2743,42.7557,0:00:56,0.603
2025-02-15,2950,48.6845,0:00:59,0.707
2025-02-14,2547,32.3108,0:00:45,0.784
2025-02-13,2563,33.7858,0:00:47,0.643
2025-02-12,2526,27.9555,0:00:39,0.615
2025-02-11,2348,24.9945,0:00:38,0.541
2025-02-10,2504,32.0766,0:00:46,0.857
2025-02-09,2637,30.2811,0:00:41,0.919
2025-02-08,2786,35.1193,0:00:45,0.697
2025-02-07,2622,31.4497,0:00:43,0.742
2025-02-06,2207,38.068,0:01:02,0.691
2025-02-05,2399,34.1628,0:00:51,0.817
2025-02-04,2652,35.5241,0:00:48,0.808
2025-02-03,3340,44.4061,0:00:47,1.022
2025-02-02,4468,51.0407,0:00:41,1.318
2025-02-01,4205,47.7584,0:00:40,6.889
2025-01-31,4301,50.7451,0:00:42,1.038
2025-01-30,5399,73.5156,0:00:49,1.515
2025-01-29,5514,93.1243,0:01:00,1.922
2025-01-28,6135,110.3797,0:01:04,2.534
2025-01-27,4772,82.3138,0:01:02,1.939
2025-01-26,4634,53.2674,0:00:41,1.121
2025-01-25,4614,51.5924,0:00:40,1.341
2025-01-24,4355,54.8357,0:00:45,1.357
2025-01-23,4241,52.1207,0:00:44,1.216
2025-01-22,4315,60.937,0:00:50,1.194
2025-01-21,4918,93.1572,0:01:08,1.962
2025-01-20,5235,94.4115,0:01:04,1.935
2025-01-19,5349,65.6771,0:00:44,1.164
2025-01-18,5970,68.4835,0:00:41,1.282
2025-01-17,6448,79.6776,0:00:44,1.468
2025-01-16,7340,100.5859,0:00:49,1.794
2025-01-15,7512,157.5737,0:01:15,3.557
2025-01-14,9061,186.6855,0:01:14,2.989
2025-01-13,9753,277.3935,0:01:42,4.698
2025-01-12,11627,170.9577,0:00:52,2.693
2025-01-11,10312,92.0346,0:00:32,1.438
2025-01-10,10401,91.6534,0:00:31,1.514
2025-01-09,12929,129.7308,0:00:36,2.185
2025-01-08,15314,237.4611,0:00:55,4.081
2025-01-07,13847,197.5361,0:00:51,3.68
2025-01-06,11436,105.1826,0:00:33,1.791
2025-01-05,12036,112.4418,0:00:33,1.965
2025-01-04,12831,113.4014,0:00:31,1.833
2025-01-03,15533,135.6022,0:00:31,2.336
2025-01-02,15626,142.3174,0:00:32,2.338
2025-01-01,15564,138.5388,0:00:32,8.191
2024-12-31,15299,125.3291,0:00:29,3.047
2024-12-30,17726,165.3153,0:00:33,3.909
2024-12-29,20733,174.513,0:00:30,3.757
2024-12-28,24166,208.5683,0:00:31,4.453
2024-12-27,26113,224.429,0:00:30,5.056
2024-12-26,28295,240.9696,0:00:30,5.051
2024-12-25,30438,266.5415,0:00:31,5.555
2024-12-24,31143,270.202,0:00:31,5.862
2024-12-23,34768,303.8338,0:00:31,6.479
2024-12-22,35498,317.4313,0:00:32,6.776
2024-12-21,39940,365.3881,0:00:32,7.689
2024-12-20,45187,387.94,0:00:30,8.324
2024-12-19,44982,383.0981,0:00:30,8.981
2024-12-18,57663,482.7528,0:00:30,10.152
2024-12-17,66177,550.9066,0:00:29,11.733
2024-12-16,85116,710.6576,0:00:30,15.606
2024-12-15,100466,825.6399,0:00:29,25.204
2024-12-14,118954,971.5555,0:00:29,22.006
2024-12-13,135758,1203.1125,0:00:31,26.629
2024-12-12,132889,1087.0457,0:00:29,23.348
2024-12-11,140481,1106.4962,0:00:28,25.35
2024-12-10,98593,851.4071,0:00:31,17.664
2024-12-09,114774,989.889,0:00:31,19.437
2024-12-08,140622,1188.6711,0:00:30,25.147
2024-12-07,142448,1309.8941,0:00:33,26.756
2024-12-06,127997,1201.2322,0:00:33,23.608
2024-12-05,131377,1242.0214,0:00:34,23.86
2024-12-04,168652,1609.4255,0:00:34,32.052
2024-12-03,169627,1895.1148,0:00:40,43.478
2024-12-02,209307,2463.9793,0:00:42,60.026
2024-12-01,245850,2285.619,0:00:33,41.762
2024-11-30,305178,2749.9214,0:00:32,58.461
2024-11-29,305632,2622.3567,0:00:30,55.917
2024-11-28,381665,3252.4211,0:00:30,70.412
2024-11-27,408659,3635.9043,0:00:32,77.893
2024-11-26,325035,3125.5268,0:00:34,71.929
2024-11-25,206447,3019.2843,0:00:52,82.266
2024-11-24,230323,3672.1952,0:00:57,117.3
2024-11-23,160033,1651.5775,0:00:37,46.868
2024-11-22,144429,2503.2852,0:01:02,78.545
2024-11-21,147358,1381.136,0:00:33,38.401
2024-11-20,193771,2033.2854,0:00:37,59.604
2024-11-19,214433,2573.1781,0:00:43,77.513
2024-11-18,217454,3321.9286,0:00:54,110.539
2024-11-17,252619,5554.7222,0:01:19,142.216
2024-11-16,225554,2924.7863,0:00:46,66.55
2024-11-15,223310,2284.145,0:00:36,66.77
2024-11-14,286454,2839.3142,0:00:35,76.913
2024-11-13,233147,2092.3525,0:00:32,49.122
2024-11-12,196069,1976.4057,0:00:36,48.049
2024-11-11,187985,2166.3027,0:00:41,60.457
2024-11-10,171385,2072.6678,0:00:43,64.868
2024-11-09,96910,1110.1353,0:00:41,22.767
2024-11-08,62564,739.037,0:00:42,19.602
2024-11-07,68981,814.8055,0:00:42,16.785
2024-11-06,48462,590.9389,0:00:43,16.732
2024-11-05,51455,806.8785,0:00:56,27.132
2024-11-04,48868,474.6656,0:00:34,14.347
2024-11-03,57168,572.1609,0:00:36,16.405
2024-11-02,50534,655.8066,0:00:46,20.972
2024-11-01,56765,555.3416,0:00:35,15.783
2024-10-31,69734,672.0723,0:00:34,17.678
2024-10-30,67724,710.9071,0:00:37,25.307
2024-10-29,77482,939.0965,0:00:43,32.618
2024-10-28,69851,728.9918,0:00:37,19.516
2024-10-27,70830,703.0956,0:00:35,17.308
2024-10-26,58894,638.7541,0:00:39,16.998
2024-10-25,53851,541.1545,0:00:36,17.573
2024-10-24,60762,588.3021,0:00:34,16.682
2024-10-23,58519,556.4349,0:00:34,15.494
2024-10-22,57216,544.8473,0:00:34,15.403
2024-10-21,54153,582.8468,0:00:38,18.034
2024-10-20,69061,736.5639,0:00:38,26.385
2024-10-19,62716,690.0156,0:00:39,20.876
2024-10-18,61884,734.1242,0:00:42,24.934
2024-10-17,56433,731.5798,0:00:46,26.129
2024-10-16,49473,804.1989,0:00:58,29.485
2024-10-15,53236,897.3423,0:01:00,34.76
2024-10-14,57905,655.1561,0:00:40,22.231
2024-10-13,55241,500.906,0:00:32,13.061
2024-10-12,56643,515.8342,0:00:32,14.224
2024-10-11,54346,510.5868,0:00:33,12.887
2024-10-10,68287,658.3086,0:00:34,17.434
2024-10-09,70617,679.6884,0:00:34,20.241
2024-10-08,64539,655.9978,0:00:36,15.791
2024-10-07,61347,792.0725,0:00:46,19.305
2024-10-06,65894,850.0887,0:00:46,20.174
2024-10-05,71262,583.6862,0:00:29,13.182
2024-10-04,75625,610.2361,0:00:29,13.882
2024-10-03,86149,685.0177,0:00:28,16.218
2024-10-02,90078,742.8777,0:00:29,17.59
2024-10-01,97978,800.7543,0:00:29,18.203
2024-09-30,92582,795.8408,0:00:30,18.502
2024-09-29,85658,791.1768,0:00:33,18.917
2024-09-28,64302,650.0228,0:00:36,15.416
2024-09-27,68054,653.0103,0:00:34,15.581
2024-09-26,77774,781.9772,0:00:36,19.634
2024-09-25,85567,957.8104,0:00:40,24.44
2024-09-24,89980,918.1303,0:00:36,23.117
2024-09-23,93098,1020.2074,0:00:39,25.164
2024-09-22,79196,927.3522,0:00:42,5.316
2024-09-21,61750,944.8152,0:00:55,
2024-09-20,40160,793.4041,0:01:11,
2024-09-19,34739,526.1345,0:00:54,
2024-09-18,28022,540.7232,0:01:09,
2024-09-17,28666,286.5738,0:00:35,
2024-09-16,29937,387.4391,0:00:46,
2024-09-15,30949,449.5513,0:00:52,
2024-09-14,26201,246.7887,0:00:33,
2024-09-13,19812,199.8742,0:00:36,
2024-09-12,11734,136.5002,0:00:41,
2024-09-11,12946,169.0019,0:00:46,
2024-09-10,11332,287.7446,0:01:31,
2024-09-09,3649,92.812,0:01:31,
2024-09-08,3556,130.7312,0:02:12,
2024-09-07,7914,331.7067,0:02:30,
2024-09-06,4752,317.4058,0:04:00,
2024-09-05,5583,357.5427,0:03:50,
2024-09-04,1392,45.9587,0:01:58,
2024-09-03,3254,105.55,0:01:56,
2024-09-02,1656,30.5904,0:01:06,
2024-09-01,573,29.9477,0:03:08,
2024-08-31,1036,42.5274,0:02:27,
2024-08-30,1230,45.5329,0:02:13,
2024-08-29,3020,37.194,0:00:44,
2024-08-28,708,22.5387,0:01:54,
2024-08-27,864,23.6535,0:01:38,
2024-08-26,524,36.5859,0:04:11,
2024-08-25,640,48.6432,0:04:33,
2024-08-24,1068,76.0801,0:04:16,
2024-08-23,217,16.528,0:04:34,
2024-08-22,305,22.7519,0:04:28,
2024-08-21,419,33.0474,0:04:43,
2024-08-20,531,36.4991,0:04:07,
2024-08-19,669,42.0296,0:03:46,
2024-08-18,893,56.7267,0:03:48,
2024-08-17,236,12.5083,0:03:10,
2024-08-16,510,25.5152,0:03:00,
2024-08-15,765,44.7291,0:03:30,
2024-08-14,1235,50.7103,0:02:27,
2024-08-13,473,21.7546,0:02:45,
2024-08-12,637,25.1662,0:02:22,
2024-08-11,1208,48.7531,0:02:25,
2024-08-10,1282,22.3904,0:01:02,
2024-08-09,4960,58.1824,0:00:42,
2024-08-08,4942,64.5484,0:00:47,
2024-08-07,183,14.6108,0:04:47,
2024-08-06,256,20.361,0:04:46,
2024-08-05,311,22.6751,0:04:22,
2024-08-04,480,41.5105,0:05:11,
2024-08-03,196,12.9641,0:03:58,
2024-08-02,204,15.7687,0:04:38,
2024-08-01,260,23.331,0:05:23,
2024-07-31,270,20.5644,0:04:34,
2024-07-30,317,33.2955,0:06:18,
2024-07-29,446,36.5022,0:04:54,
2024-07-28,691,41.0214,0:03:33,
2024-07-27,218,19.9726,0:05:29,
2024-07-26,269,25.1766,0:05:36,
2024-07-25,420,40.9004,0:05:50,
2024-07-24,403,29.5119,0:04:23,
2024-07-23,581,39.3116,0:04:03,
2024-07-22,944,52.7482,0:03:21,
